
TABLE,VEDA_TBL_CP_HWBIN_HIST_202608230854.csv
"BIN_NUMBER","DESCRIPTION","BIN_SPEC","BIN_DEF_NAME","VERSION","CREATE_DATE"
27,Hbin_AnalogTest,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
28,Hbin_Mem_Vcg,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
29,HBin_Current_test,G,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
30,Hbin_Mem_Init,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
31,Hbin_Setup_Test,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
32,Hbin_Sys_Error,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
33,Hbin_ATE_alarm,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
252,PASS_PinCheck,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
254,PASS_BoardCheck,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
253,Bad_PinCheck,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
255,Bad_BoardCheck,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000

TABLE,VEDA_TBL_CP_LOT_202608230854.csv
"FAB_NAME","LOTID","TEST_TYPE","PART","PART6","MEASURETIME","TEST_PROGRAM","BIN_DEF_NAME","TEST_EQPID","CPOPERATOR","LOAD_BOARD","CPPROBECARD","TEST_VENDOR","WEEK","MONTH","TIMESTAMP","EMPL_ID","MPW_CD","MES_LOT_ID"
FAB12,A12345.1,CP3,TM1234,TM1234,2005-05-16 22:38:00.000,N/A,TM1234_CUST_2_CP2,N/A,N/A,,,CUST,"200521","200505",2025-11-25 13:10:00.000,,,A12345.1
FAB12,P9YG54.00,CP2,TMUW83A-TLNBZ1               .01,TMUW83,2025-09-28 08:02:36.000,UCODEX_B_P15660_SMT8_En_SL3S1208_PB1_THI_Dummy_wr33_P_pink,TMUW83_CPHOUSE_CP2_1,TTAVT_061,N0SE39EWN000_WT1,,P15660_P15660-FHB-0685,ATBK,"202540","202509",2026-06-16 03:25:32.000,,,P9YG54.00
FAB12,M900011,CP2,VSL3S120805/A1HBP,VSL3S1,2026-06-22 02:36:48.000,UCODEX_B_P15660_SMT8_En,VSL3S1_CPHOUSE_CP2_1,APBAD061,N0SF25B04000,LV93K#061,P15660-FHB-0686,,"202626","202606",2026-06-22 02:36:48.000,,,M900011
FAB12,FFR123.1,CP1,VP4707K-C2THNAZ1             .05,VP4707,2025-02-13 04:51:27.000,"54241x01_16wx5g_2.3",VP4707_CP,ISL-ETS364-19,s05051_@,,,CPHOUSE,"202507","202502",2025-02-13 16:55:35.000,,,FFR123.1
FAB12,F4MG93.1,CP1,VP6388A-C3T1EAZ1             .01,VP6388,2019-09-24 23:19:15.000,VLM7G22020P1_V8_42035_W1_I_tin,VP6388_TEST_CP1,UPARSET_,NA,,"6468",AMP,"201939","201909",2025-08-26 08:59:08.000,,,F4MG93.1
FAB12,M123456.00,CP3,TM1234,TM1234,2005-05-16 22:38:00.000,N/A,TM1234_CUST_2_CP2,N/A,N/A,,,CUST,"200521","200505",2025-06-26 13:43:21.000,,,M123456.00
FAB12,P9XP47.00,CP3,TMUW83A-TLNBZ1               .01,TMUW83,2025-10-22 03:01:28.000,PCA9481_WT3_1V98_PCA9481_ASEK_wr3_P_pink,TMUW83_CPHOUSE_CP1_1,-_THMH31,NA,,-_PB-WPC-2636,ASE-KHT,"202543","202510",2026-05-08 16:07:12.000,,,P9XP47.00
FAB12,M123456.00,CP1,TMUW83A-TLNBZ1               .01,TMUW83,2025-09-29 23:12:58.000,UCODEX_B_P15660_SMT8_En,TMUW83A_KYEC_1_1,APBAD061,N0SE39EW,LV93K#061,P15660-FHB-0685,KYEC,"202540","202509",2025-12-02 15:24:17.000,,,M123456.00

TABLE,VEDA_TBL_CP_LOT_SUM_202608230854.csv
"FAB_NAME","LOTID","TEST_TYPE","MEASURETIME","WEEK","MONTH","WAFERCOUNT","GROSS_DIE","NUM_GOOD_DIE","BIN0","BIN1","BIN2","BIN3","BIN4","BIN5","BIN6","BIN7","BIN8","BIN9","BIN10","BIN11","BIN12","BIN13","BIN14","BIN15","BIN16","BIN17","BIN18","BIN19","BIN20","BIN21","BIN22","BIN23","BIN24","BIN25","BIN26","BIN27","BIN28","BIN29","BIN30","BIN31","BIN32","BIN33","BIN34","BIN35","BIN36","BIN37","BIN38","BIN39","BIN40","BIN41","BIN42","BIN43","BIN44","BIN45","BIN46","BIN47","BIN48","BIN49","BIN50","BIN51","BIN52","BIN53","BIN54","BIN55","BIN56","BIN57","BIN58","BIN59","BIN60","BIN61","BIN62","BIN63","BIN64","BIN65","BIN66","BIN67","BIN68","BIN69","BIN70","BIN71","BIN72","BIN73","BIN74","BIN75","BIN76","BIN77","BIN78","BIN79","BIN80","BIN81","BIN82","BIN83","BIN84","BIN85","BIN86","BIN87","BIN88","BIN89","BIN90","BIN91","BIN92","BIN93","BIN94","BIN95","BIN96","BIN97","BIN98","BIN99","CREATETIME","MODIFYTIME","CP_FORMAT","D0_AVERAGE_FIT","D0_MEDIAN_FIT","NUM_TESTED_DIE","NUM_FUNCTIONAL_DIE","RANGE_INDEX","MARK_FLAG","YIELD","TIMESTAMP","FINAL_GOOD_DIE_SQX","GOOD_DIE_MAX","GOOD_DIE_MIN","GOOD_DIE_SQX","GOOD_X_REPAIR","IS_STACK_WAFER","KILL_DIE_CNT","OPEN_DIE_CNT","RECVRY_DIE_CNT","REPAIR_DIE_CNT","REPAIR_DIE_SQX","REPROBE_DIE_CNT","VI_DIE_CNT","YLD_TYPE","MES_LOT_ID","SHIPPING_YIELD","SHIPPING_COUNT"
FAB12,A12345.1,CP3,2005-05-16 22:38:00.000,"200521","200505",1,1748,54,0,54,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,44,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-26 11:09:01.000,2025-11-25 13:10:00.000,TSMC,-1,-1,181,1748,0,T,29.83,2025-11-25 13:10:00.000,2916,54,54,2916,,,0,0,0,0,0,0,0,SAMPLING,A12345.1,29.83,1
FAB12,M123456.00,CP3,2025-02-13 04:51:27.000,"202507","202502",25,62725,61206,0,61206,0,75,0,0,73,57,41,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-12 14:07:38.000,2025-02-13 16:55:35.000,TSMC,-0.13682596,-0.136342,61600,62725,0,T,99.36,2025-02-13 16:55:35.000,149848428,2457,2421,149848428,,,0,0,0,0,0,0,0,SAMPLING,M123456.00,99.36,25
FAB12,P9YG54.00,CP2,2025-09-28 08:02:36.000,"202540","202509",1,684699,679346,0,679346,0,0,0,3197,0,0,0,0,0,780,386,227,0,225,0,3,0,1,337,0,136,0,0,0,0,44,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-15 22:53:19.000,2026-06-16 03:25:32.000,CP,0,0,684699,679346,0,T,99.2182,2026-06-16 03:25:32.000,,,,,,,0,0,0,0,,0,0,CP,P9YG54.00,,
FAB12,M900011,CP2,2026-06-22 02:36:48.000,"202626","202606",1,684699,678543,0,678543,0,0,0,2422,0,0,0,0,0,0,22,420,0,3006,0,0,0,7,205,0,24,0,0,0,0,43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-06-21 21:51:33.000,2026-06-22 02:36:48.000,CP,0,0,684699,678543,0,T,99.1009,2026-06-22 02:36:48.000,,,,,,,0,0,0,0,,0,0,CP,M900011,,
FAB12,FFR123.1,CP1,2025-02-13 04:51:27.000,"202507","202502",25,62725,61206,0,61206,0,75,0,0,73,57,41,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-12 14:07:38.000,2025-02-13 16:55:35.000,TSMC,-0.13682596,-0.136342,61600,62725,0,T,99.36,2025-02-13 16:55:35.000,149848428,2457,2421,149848428,,,0,0,0,0,0,0,0,SAMPLING,FFR123.1,99.36,25
FAB12,F4MG93.1,CP1,2019-09-24 23:19:15.000,"201939","201909",24,47520,47168,0,47168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-23 21:41:02.000,2019-09-25 00:43:24.000,TSMC,-0.083909125,-0.0865765,47520,47520,0,T,99.26,2025-08-26 08:59:08.000,92702970,1978,1934,92702970,,,0,0,0,0,0,0,0,FULL,F4MG93.1,,
FAB12,F4MG93.1,CP1,2019-09-24 23:19:15.000,"201939","201909",24,47520,47168,0,0,0,0,0,67,0,9,18,11,4,0,5,0,0,0,0,0,0,0,0,0,0,222,0,0,12,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-23 21:41:02.000,2019-09-25 00:43:24.000,TSMC,-0.083909125,-0.0865765,47520,47520,1,T,99.26,2025-08-26 08:59:08.000,92702970,1978,1934,92702970,,,0,0,0,0,0,0,0,FULL,F4MG93.1,,
FAB12,P9XP47.00,CP3,2025-10-22 03:01:28.000,"202543","202510",2,1369398,9956,0,9956,0,0,0,4,0,12,0,0,22,0,0,12,10,0,0,0,0,0,2,6,12,4,306,0,0,2,0,0,0,0,0,0,94,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-12 13:35:34.000,2026-05-08 16:07:12.000,TSMC,-1,-1,10516,1369398,0,T,94.67,2026-05-08 16:07:12.000,49560968,4978,4978,49560968,,,0,0,0,0,0,0,0,SAMPLING,P9XP47.00,94.67,2
FAB12,M123456.00,CP1,2025-09-29 23:12:58.000,"202540","202509",16,10955184,10756036,0,10755201,0,0,0,102810,0,0,0,0,0,8167,4727,1282,0,4861,0,2510,0,52,24335,0,2093,0,0,0,0,3902,0,835,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-21 11:55:28.000,2025-12-02 15:24:17.000,TSMC,-1,-1,10910778,10955184,0,T,92.36,2025-12-02 15:24:17.000,7237473477088,682820,620866,7237473477088,,,0,0,0,0,0,0,0,SAMPLING,M123456.00,92.36,16

TABLE,VEDA_TBL_CP_RAW_202608230918.csv
"FAB_NAME","LOTID","TEST_TYPE","WAFERNO","WAFERID","MEASURETIME","WEEK","MONTH","Y_COORD","VIEW_FLAG","CREATETIME","MODIFYTIME","FIMER_STR","TIMESTAMP","BIN_STR","VI_STR","BIN_TYPE_STR","MES_LOT_ID"
FAB12,FFR123.1,CP1,24,FFR123.24,2025-02-13 03:14:37.000,"202507","202502",43,1,2025-02-13 16:53:14.000,2025-02-13 16:53:14.000,,2025-02-13 16:53:14.000,"                                          000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001                              ","                                          000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                              ","                                          00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G                              ",FFR123.1
FAB12,FFR123.1,CP1,24,FFR123.24,2025-02-13 03:14:37.000,"202507","202502",44,1,2025-02-13 16:53:14.000,2025-02-13 16:53:14.000,,2025-02-13 16:53:14.000,"                                                000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001                                    ","                                                000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                    ","                                                00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G                                    ",FFR123.1
FAB12,FFR123.1,CP1,24,FFR123.24,2025-02-13 03:14:37.000,"202507","202502",45,1,2025-02-13 16:53:14.000,2025-02-13 16:53:14.000,,2025-02-13 16:53:14.000,"                                          000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000030000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001000001                                          ","                                          000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                          ","                                          00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000B00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G00000G                                          ",FFR123.1
FAB12,M123456.00,CP1,13,M123456.13,2025-09-28 08:02:53.000,"202540","202509",810,1,2025-11-25 16:48:09.000,2025-12-02 15:22:07.000,,2025-12-02 15:22:07.000,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        00000005000000050000000500000027000000010000001300000022000000130000000100000005000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001                                                                        00000011000000110000001100000011000000110000001100000011000000050000001100000005000000050000000500000005000000050000000500000020000000050000000500000005000000200000000500000005000000050000000500000005000000050000001100000011000000110000001100000011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                        00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0000000B0000000B0000000B0000000B0000000G0000000B0000000B0000000B0000000G0000000B0000000G0000000G0000000G0000000G0000000G0000000G0000000G0000000G0000000G0000000G0000000G0000000G                                                                        0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B0000000B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",M123456.00
